Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_12p33cm_C,GroundTemp_24p67cm_C,GroundTemp_37cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_12p33cm_C,QC_GroundTemp_24p67cm_C,QC_GroundTemp_37cm_C
2026-06-21 14:00:00,NaN,4.99888888888889,1.83222222222222,-1.75611111111111,-1.07111111111111,9,0,0,0,0
2026-06-21 15:00:00,NaN,5.28222222222222,1.75111111111111,-1.72722222222222,-1.07111111111111,9,0,0,0,0
2026-06-21 16:00:00,NaN,5.975,1.72388888888889,-1.72722222222222,-1.04277777777778,9,0,0,0,0
2026-06-21 17:00:00,NaN,6.83888888888889,1.72388888888889,-1.72722222222222,-1.04277777777778,9,0,0,0,0
2026-06-21 18:00:00,NaN,7.59388888888889,1.77777777777778,-1.69888888888889,-1.04277777777778,9,0,0,0,0
2026-06-21 19:00:00,NaN,8.295,1.85888888888889,-1.72722222222222,-1.04277777777778,9,0,0,0,0
2026-06-21 20:00:00,NaN,8.17,1.91277777777778,-1.69888888888889,-1.04277777777778,9,0,0,0,0
2026-06-21 21:00:00,NaN,9.08888888888889,2.02111111111111,-1.69888888888889,-1.04277777777778,9,0,0,0,0
2026-06-21 22:00:00,NaN,9.485,2.12777777777778,-1.72722222222222,-1.04277777777778,9,0,0,0,0
2026-06-21 23:00:00,NaN,9.70611111111111,2.20888888888889,-1.72722222222222,-1.07111111111111,9,0,0,0,0
2026-06-22 00:00:00,NaN,9.97722222222222,2.31611111111111,-1.69888888888889,-1.015,9,0,0,0,0
2026-06-22 01:00:00,NaN,10.2222222222222,2.39611111111111,-1.69888888888889,-1.015,9,0,0,0,0
2026-06-22 02:00:00,NaN,10.345,2.47722222222222,-1.69888888888889,-1.015,9,0,0,0,0
2026-06-22 03:00:00,NaN,9.75611111111111,2.53,-1.69888888888889,-1.015,9,0,0,0,0
2026-06-22 04:00:00,NaN,9.53388888888889,2.55722222222222,-1.69888888888889,-1.015,9,0,0,0,0
2026-06-22 05:00:00,NaN,8.965,2.55722222222222,-1.67,-1.015,9,0,0,0,0
2026-06-22 06:00:00,NaN,8.22,2.53,-1.67,-0.98611111111111,9,0,0,0,0
2026-06-22 07:00:00,NaN,7.24222222222222,2.45,-1.67,-1.015,9,0,0,0,0
2026-06-22 08:00:00,NaN,6.35722222222222,2.39611111111111,-1.64111111111111,-0.98611111111111,9,0,0,0,0
2026-06-22 09:00:00,NaN,5.43722222222222,2.26222222222222,-1.67,-1.015,9,0,0,0,0
2026-06-22 10:00:00,NaN,4.74,2.12777777777778,-1.67,-1.015,9,0,0,0,0
2026-06-22 11:00:00,NaN,4.32388888888889,1.99388888888889,-1.67,-1.015,9,0,0,0,0
2026-06-22 12:00:00,NaN,4.115,1.85888888888889,-1.67,-1.015,9,0,0,0,0
2026-06-22 13:00:00,NaN,4.55777777777778,1.805,-1.64111111111111,-0.98611111111111,9,0,0,0,0
2026-06-22 14:00:00,NaN,5.17888888888889,1.77777777777778,-1.64111111111111,-0.98611111111111,9,0,0,0,0
2026-06-22 15:00:00,NaN,5.84722222222222,1.805,-1.64111111111111,-0.957777777777778,9,0,0,0,0
2026-06-22 16:00:00,NaN,6.78777777777778,1.85888888888889,-1.67,-0.957777777777778,9,0,0,0,0
2026-06-22 17:00:00,NaN,7.92,1.99388888888889,-1.64111111111111,-0.957777777777778,9,0,0,0,0
2026-06-22 18:00:00,NaN,9.41,2.12777777777778,-1.64111111111111,-0.957777777777778,9,0,0,0,0
2026-06-22 19:00:00,NaN,11.005,2.28888888888889,-1.64111111111111,-0.957777777777778,9,0,0,0,0
2026-06-22 20:00:00,NaN,12.34,2.50277777777778,-1.64111111111111,-0.957777777777778,9,0,0,0,0
2026-06-22 21:00:00,NaN,13.8822222222222,2.71722222222222,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-22 22:00:00,NaN,14.9361111111111,2.95611111111111,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-22 23:00:00,NaN,15.4138888888889,3.22111111111111,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 00:00:00,NaN,15.27,3.45888888888889,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 01:00:00,NaN,14.3611111111111,3.61722222222222,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 02:00:00,NaN,13.4488888888889,3.72222222222222,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 03:00:00,NaN,13.0638888888889,3.80111111111111,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 04:00:00,NaN,12.5088888888889,3.80111111111111,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 05:00:00,NaN,12.025,3.775,-1.58388888888889,-0.93,9,0,0,0,0
2026-06-23 06:00:00,NaN,10.8338888888889,3.69611111111111,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 07:00:00,NaN,9.60777777777778,3.59111111111111,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 08:00:00,NaN,8.79222222222222,3.45888888888889,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 09:00:00,NaN,8.02,3.32722222222222,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 10:00:00,NaN,7.29277777777778,3.16777777777778,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 11:00:00,NaN,6.66111111111111,3.00888888888889,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 12:00:00,NaN,6.20388888888889,2.85,-1.61277777777778,-0.957777777777778,9,0,0,0,0
2026-06-23 13:00:00,NaN,6.15277777777778,2.71722222222222,-1.61277777777778,-0.93,9,0,0,0,0
2026-06-23 14:00:00,NaN,6.07722222222222,2.61,-1.58388888888889,-0.93,9,0,0,0,0
2026-06-23 15:00:00,NaN,6.66111111111111,2.53,-1.58388888888889,-0.93,9,0,0,0,0
2026-06-23 16:00:00,NaN,7.56888888888889,2.53,-1.58388888888889,-0.902222222222222,9,0,0,0,0
2026-06-23 17:00:00,NaN,8.76722222222222,2.58388888888889,-1.58388888888889,-0.902222222222222,9,0,0,0,0
2026-06-23 18:00:00,NaN,11.1022222222222,2.69,-1.55611111111111,-0.902222222222222,9,0,0,0,0
