Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_16p7cm_C,GroundTemp_33p2cm_C,GroundTemp_49p4cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_16p7cm_C,QC_GroundTemp_33p2cm_C,QC_GroundTemp_49p4cm_C
2023-08-14 10:00:00,10.222,7.795,4.61,1.697,0.218,0,0,0,0,0
2023-08-14 11:00:00,10.443,7.695,4.532,1.697,0.218,0,0,0,0,0
2023-08-14 12:00:00,11.394,7.469,4.454,1.67,0.218,0,0,0,0,0
2023-08-14 13:00:00,10.663,7.67,4.428,1.67,0.218,0,0,0,0,0
2023-08-14 14:00:00,10.271,7.494,4.324,1.67,0.218,0,0,0,0,0
2023-08-14 15:00:00,11.053,7.67,4.35,1.67,0.218,0,0,0,0,0
2023-08-14 16:00:00,11.127,8.12,4.402,1.67,0.218,0,0,0,0,0
2023-08-14 17:00:00,11.516,8.693,4.454,1.643,0.218,0,0,0,0,0
2023-08-14 18:00:00,11.71,9.287,4.532,1.643,0.218,0,0,0,0,0
2023-08-14 19:00:00,12.437,9.879,4.688,1.643,0.19,0,0,0,0,0
2023-08-14 20:00:00,13.473,10.687,4.844,1.643,0.19,0,0,0,0,0
2023-08-14 21:00:00,15.39,12.147,5.179,1.643,0.19,0,0,0,0,0
2023-08-14 22:00:00,18.105,13.882,5.591,1.67,0.19,0,0,0,0,0
2023-08-14 23:00:00,18.366,13.978,5.642,1.67,0.19,0,0,0,0,0
2023-08-15 00:00:00,16.892,14.816,5.898,1.67,0.19,0,0,0,0,0
2023-08-15 01:00:00,18.176,14.577,5.898,1.67,0.19,0,0,0,0,0
2023-08-15 02:00:00,18.747,14.505,6.204,1.697,0.19,0,0,0,0,0
2023-08-15 03:00:00,16.725,13.786,6.026,1.697,0.19,0,0,0,0,0
2023-08-15 04:00:00,15.772,13.209,5.975,1.67,0.19,0,0,0,0,0
2023-08-15 05:00:00,14.745,12.703,5.77,1.67,0.218,0,0,0,0,0
2023-08-15 06:00:00,13.425,11.977,5.642,1.67,0.218,0,0,0,0,0
2023-08-15 07:00:00,12.727,11.321,5.539,1.67,0.218,0,0,0,0,0
2023-08-15 08:00:00,11.613,10.59,5.385,1.697,0.218,0,0,0,0,0
2023-08-15 09:00:00,11.053,9.829,5.205,1.67,0.246,0,0,0,0,0
2023-08-15 10:00:00,11.2,9.213,5.05,1.67,0.246,0,0,0,0,0
2023-08-15 11:00:00,10.663,8.792,4.947,1.67,0.218,0,0,0,0,0
2023-08-15 12:00:00,10.736,8.543,4.844,1.67,0.246,0,0,0,0,0
2023-08-15 13:00:00,10.198,8.295,4.74,1.67,0.246,0,0,0,0,0
2023-08-15 14:00:00,10.247,8.095,4.636,1.67,0.218,0,0,0,0,0
2023-08-15 15:00:00,10.271,8.02,4.584,1.67,0.218,0,0,0,0,0
2023-08-15 16:00:00,11.053,8.07,4.584,1.67,0.218,0,0,0,0,0
2023-08-15 17:00:00,12.243,8.295,4.61,1.67,0.218,0,0,0,0,0
2023-08-15 18:00:00,13.281,8.543,4.61,1.67,0.218,0,0,0,0,0
2023-08-15 19:00:00,14.84,9.213,4.766,1.67,0.218,0,0,0,0,0
2023-08-15 20:00:00,18.152,11.248,5.308,1.697,0.19,1,0,1,0,0
2023-08-15 21:00:00,15.27,12.63,5.231,1.67,0.218,1,0,0,0,0
2023-08-15 22:00:00,18.628,13.329,5.539,1.697,0.19,0,0,0,0,0
2023-08-15 23:00:00,16.677,13.762,5.668,1.697,0.218,0,0,0,0,0
2023-08-16 00:00:00,16.439,14.074,5.796,1.697,0.218,0,0,0,0,0
2023-08-16 01:00:00,18.247,14.194,5.975,1.697,0.19,0,0,0,0,0
2023-08-16 02:00:00,18.105,14.194,6.051,1.724,0.19,0,0,0,0,0
2023-08-16 03:00:00,17.605,13.281,5.924,1.697,0.218,0,0,0,0,0
2023-08-16 04:00:00,16.534,12.775,5.77,1.697,0.218,0,0,0,0,0
2023-08-16 05:00:00,14.697,11.662,5.539,1.697,0.246,0,0,0,0,0
2023-08-16 06:00:00,12.122,10.467,5.308,1.697,0.246,0,0,0,0,0
2023-08-16 07:00:00,9.089,9.139,4.999,1.697,0.273,0,0,0,0,0
2023-08-16 08:00:00,8.618,7.97,4.74,1.67,0.273,0,0,0,0,0
2023-08-16 09:00:00,7.645,7.015,4.48,1.67,0.273,0,0,0,0,0
2023-08-16 10:00:00,7.645,6.179,4.246,1.67,0.273,0,0,0,0,0
2023-08-16 11:00:00,7.368,5.488,4.011,1.643,0.273,0,0,0,0,0
2023-08-16 12:00:00,6.99,4.895,3.827,1.643,0.273,0,0,0,0,0
2023-08-16 13:00:00,6.331,4.376,3.643,1.615,0.273,0,0,0,0,0
2023-08-16 14:00:00,7.242,3.906,3.459,1.615,0.273,0,0,0,0,0
2023-08-16 15:00:00,7.795,3.696,3.327,1.615,0.273,0,0,0,0,0
2023-08-16 16:00:00,8.891,3.722,3.274,1.588,0.246,0,0,0,0,0
2023-08-16 17:00:00,10.858,4.063,3.327,1.588,0.246,0,0,0,0,0
2023-08-16 18:00:00,12.847,4.74,3.433,1.561,0.246,0,0,0,0,0
2023-08-16 19:00:00,14.792,5.872,3.696,1.561,0.246,0,0,0,0,0
2023-08-16 20:00:00,16.963,8.02,4.089,1.588,0.218,0,1,0,0,0
2023-08-16 21:00:00,18.438,12.582,4.766,1.588,0.19,0,0,0,0,0
2023-08-16 22:00:00,18.675,15.103,5.128,1.588,0.218,0,1,0,0,0
2023-08-16 23:00:00,17.915,14.792,5.514,1.615,0.218,0,0,0,0,0
2023-08-17 00:00:00,20.555,15.867,5.898,1.615,0.218,0,0,0,0,0
2023-08-17 01:00:00,19.032,16.034,6.077,1.615,0.218,0,0,0,0,0
2023-08-17 02:00:00,18.509,15.031,6.051,1.615,0.218,0,0,0,0,0
2023-08-17 03:00:00,18.081,14.002,5.924,1.615,0.246,0,0,0,0,0
2023-08-17 04:00:00,16.892,13.353,5.77,1.615,0.246,0,0,0,0,0
2023-08-17 05:00:00,15.103,12.098,5.565,1.615,0.246,0,0,0,0,0
2023-08-17 06:00:00,12.847,10.687,5.282,1.615,0.246,0,0,0,0,0
2023-08-17 07:00:00,11.832,9.583,5.076,1.588,0.246,0,0,0,0,0
2023-08-17 08:00:00,10.173,8.369,4.792,1.615,0.273,0,0,0,0,0
2023-08-17 09:00:00,9.163,7.393,4.532,1.588,0.273,0,0,0,0,0
2023-08-17 10:00:00,9.977,6.914,4.402,1.588,0.246,0,0,0,0,0
2023-08-17 11:00:00,10.001,6.914,4.324,1.561,0.246,0,0,0,0,0
2023-08-17 12:00:00,9.139,6.56,4.168,1.561,0.246,0,0,0,0,0
2023-08-17 13:00:00,9.534,6.687,4.141,1.561,0.246,0,0,0,0,0
2023-08-17 14:00:00,9.188,6.737,4.063,1.561,0.246,0,0,0,0,0
2023-08-17 15:00:00,9.336,6.94,4.063,1.561,0.246,0,0,0,0,0
2023-08-17 16:00:00,9.952,7.393,4.194,1.561,0.246,0,0,0,0,0
2023-08-17 17:00:00,9.928,7.393,4.115,1.561,0.246,0,0,0,0,0
2023-08-17 18:00:00,10.124,7.519,4.272,1.561,0.246,0,0,0,0,0
2023-08-17 19:00:00,11.005,7.995,4.298,1.561,0.246,0,0,0,0,0
2023-08-17 20:00:00,10.956,9.336,4.506,1.561,0.246,0,0,0,0,0
2023-08-17 21:00:00,11.37,10.565,4.662,1.561,0.246,0,0,0,0,0
2023-08-17 22:00:00,11.71,11.832,4.895,1.588,0.246,0,1,0,0,0
2023-08-17 23:00:00,10.638,11.37,4.869,1.561,0.246,0,0,0,0,0
2023-08-18 00:00:00,10.858,10.883,4.818,1.561,0.246,0,0,0,0,0
2023-08-18 01:00:00,10.026,10.247,4.792,1.561,0.246,0,0,0,0,0
2023-08-18 02:00:00,9.854,9.583,4.61,1.534,0.273,0,0,0,0,0
2023-08-18 03:00:00,9.46,9.287,4.61,1.534,0.246,0,0,0,0,0
2023-08-18 04:00:00,9.089,8.767,4.428,1.534,0.273,0,0,0,0,0
2023-08-18 05:00:00,8.767,8.195,4.324,1.507,0.273,0,0,0,0,0
2023-08-18 06:00:00,8.742,7.72,4.168,1.507,0.273,0,0,0,0,0
2023-08-18 07:00:00,8.145,7.192,4.063,1.507,0.273,0,0,0,0,0
2023-08-18 08:00:00,8.543,6.661,3.958,1.507,0.273,0,0,0,0,0
2023-08-18 09:00:00,8.419,6.408,3.827,1.48,0.273,0,0,0,0,0
2023-08-18 10:00:00,8.444,6.23,3.749,1.48,0.273,0,0,0,0,0
2023-08-18 11:00:00,8.095,5.949,3.643,1.48,0.273,0,0,0,0,0
2023-08-18 12:00:00,8.444,5.872,3.617,1.453,0.246,0,0,0,0,0
2023-08-18 13:00:00,8.419,6.077,3.591,1.453,0.273,0,0,0,0,0
2023-08-18 14:00:00,8.419,6.306,3.643,1.453,0.273,0,0,0,0,0
2023-08-18 15:00:00,8.444,6.458,3.617,1.453,0.273,0,0,0,0,0
2023-08-18 16:00:00,8.494,6.712,3.67,1.453,0.273,0,0,0,0,0
2023-08-18 17:00:00,8.593,7.217,3.775,1.425,0.273,0,0,0,0,0
2023-08-18 18:00:00,9.361,8.22,3.985,1.425,0.246,0,0,0,0,0
2023-08-18 19:00:00,9.558,8.817,4.063,1.425,0.246,0,0,0,0,0
2023-08-18 20:00:00,10.541,9.952,4.298,1.453,0.246,0,0,0,0,0
2023-08-18 21:00:00,10.98,10.736,4.402,1.425,0.246,0,0,0,0,0
2023-08-18 22:00:00,11.54,11.127,4.662,1.453,0.246,0,0,0,0,0
2023-08-18 23:00:00,12.122,11.759,4.792,1.453,0.246,0,0,0,0,0
2023-08-19 00:00:00,12.461,12.05,4.869,1.453,0.246,0,0,0,0,0
2023-08-19 01:00:00,14.266,13.016,5.154,1.453,0.246,1,0,0,0,0
2023-08-19 02:00:00,12.896,13.016,5.231,1.48,0.246,0,0,0,0,0
2023-08-19 03:00:00,12.195,12.316,5.154,1.453,0.246,0,0,0,0,0
2023-08-19 04:00:00,11.54,11.467,4.973,1.453,0.246,0,0,0,0,0
2023-08-19 05:00:00,10.907,10.614,4.844,1.453,0.246,0,0,0,0,0
2023-08-19 06:00:00,10.418,9.829,4.792,1.453,0.246,0,0,0,0,0
2023-08-19 07:00:00,10.198,9.287,4.584,1.453,0.273,0,0,0,0,0
2023-08-19 08:00:00,9.682,8.543,4.454,1.453,0.246,0,0,0,0,0
2023-08-19 09:00:00,9.854,8.22,4.376,1.453,0.273,0,0,0,0,0
2023-08-19 10:00:00,9.608,7.87,4.324,1.453,0.273,0,0,0,0,0
2023-08-19 11:00:00,8.916,7.745,4.22,1.453,0.273,0,0,0,0,0
2023-08-19 12:00:00,8.668,7.569,4.115,1.453,0.273,0,0,0,0,0
2023-08-19 13:00:00,8.494,7.343,4.089,1.453,0.273,0,0,0,0,0
2023-08-19 14:00:00,8.319,7.142,3.958,1.425,0.273,0,0,0,0,0
2023-08-19 15:00:00,8.369,7.041,4.011,1.453,0.273,0,0,0,0,0
2023-08-19 16:00:00,8.145,6.914,3.88,1.425,0.273,0,0,0,0,0
2023-08-19 17:00:00,8.12,6.94,3.827,1.425,0.273,0,0,0,0,0
2023-08-19 18:00:00,8.295,7.293,3.906,1.425,0.273,0,0,0,0,0
2023-08-19 19:00:00,8.469,7.695,3.958,1.425,0.273,0,0,0,0,0
2023-08-19 20:00:00,8.693,8.22,3.985,1.425,0.273,0,0,0,0,0
2023-08-19 21:00:00,8.568,8.593,4.115,1.425,0.273,0,0,0,0,0
2023-08-19 22:00:00,8.568,8.319,4.168,1.425,0.273,0,0,0,0,0
2023-08-19 23:00:00,9.089,8.668,4.168,1.425,0.273,0,0,0,0,0
2023-08-20 00:00:00,9.287,8.841,4.141,1.425,0.273,0,0,0,0,0
2023-08-20 01:00:00,9.287,8.841,4.194,1.425,0.273,0,0,0,0,0
2023-08-20 02:00:00,9.509,8.941,4.194,1.425,0.273,0,0,0,0,0
2023-08-20 03:00:00,8.742,8.792,4.141,1.398,0.273,0,0,0,0,0
2023-08-20 04:00:00,8.494,8.319,4.037,1.398,0.273,0,0,0,0,0
2023-08-20 05:00:00,8.07,7.569,3.88,1.398,0.273,0,0,0,0,0
2023-08-20 06:00:00,7.845,6.914,3.749,1.398,0.301,0,0,0,0,0
2023-08-20 07:00:00,7.318,6.382,3.643,1.398,0.301,0,0,0,0,0
2023-08-20 08:00:00,7.544,5.975,3.538,1.371,0.301,0,0,0,0,0
2023-08-20 09:00:00,6.965,5.437,3.354,1.371,0.301,0,0,0,0,0
2023-08-20 10:00:00,7.091,5.076,3.248,1.344,0.301,0,0,0,0,0
2023-08-20 11:00:00,7.116,5.128,3.221,1.344,0.273,0,0,0,0,0
2023-08-20 12:00:00,7.142,5.154,3.168,1.344,0.273,0,0,0,0,0
2023-08-20 13:00:00,6.99,5.154,3.142,1.317,0.301,0,0,0,0,0
2023-08-20 14:00:00,6.839,5.102,3.089,1.317,0.301,0,0,0,0,0
2023-08-20 15:00:00,7.142,5.231,3.089,1.317,0.273,0,0,0,0,0
2023-08-20 16:00:00,6.889,5.385,3.116,1.289,0.273,0,0,0,0,0
2023-08-20 17:00:00,6.99,5.719,3.142,1.289,0.273,0,0,0,0,0
2023-08-20 18:00:00,7.066,6.077,3.168,1.289,0.301,0,0,0,0,0
2023-08-20 19:00:00,7.041,6.56,3.195,1.289,0.273,0,0,0,0,0
2023-08-20 20:00:00,7.318,7.015,3.274,1.262,0.273,0,0,0,0,0
2023-08-20 21:00:00,7.695,7.293,3.354,1.262,0.273,0,0,0,0,0
2023-08-20 22:00:00,8.469,7.795,3.485,1.262,0.273,0,0,0,0,0
2023-08-20 23:00:00,8.99,8.643,3.696,1.289,0.273,0,0,0,0,0
2023-08-21 00:00:00,9.78,9.46,3.88,1.289,0.273,0,0,0,0,0
2023-08-21 01:00:00,10.075,10.1,4.037,1.289,0.273,0,0,0,0,0
2023-08-21 02:00:00,10.124,10.32,4.22,1.289,0.273,0,0,0,0,0
2023-08-21 03:00:00,9.854,10.149,4.115,1.289,0.273,0,0,0,0,0
2023-08-21 04:00:00,9.682,9.756,4.168,1.289,0.273,0,0,0,0,0
2023-08-21 05:00:00,9.46,9.238,4.141,1.289,0.273,0,0,0,0,0
2023-08-21 06:00:00,9.312,8.767,4.115,1.289,0.273,0,0,0,0,0
2023-08-21 07:00:00,9.04,8.419,4.037,1.289,0.273,0,0,0,0,0
2023-08-21 08:00:00,8.817,8.22,4.011,1.289,0.273,0,0,0,0,0
2023-08-21 09:00:00,8.643,8.095,4.089,1.289,0.273,0,0,0,0,0
